"facet_id";"facet_name";"facet_unit";"parent_id";"rubric_id";"sort_index";"key";"important";"type";"date_insert";"date_update";"user_id"
"10700";"Максимальная загрузка";"комплектов";"0";"4209";"3";"0";"1";"number";"2018-04-19 10:49:10";"2018-04-19 11:28:01";"95"
"3300";"Увеличение оптическое";"крат";"0";"1489";"20";"0";"1";"number";"2016-11-02 15:36:54";"2017-09-29 15:31:04";"1800"
"9214";"Максимальное увеличение";"кратноcть";"0";"3067";"6";"0";"1";"number";"2018-01-25 12:48:03";"2018-02-15 16:47:05";"95"
"2668";"Увеличение";"кратное";"0";"3068";"4";"0";"1";"string";"2016-07-04 17:10:57";"2017-10-10 16:01:02";"95"
"440";"Объем";"л";"0";"1019";"1";"0";"1";"number";"2016-07-04 17:10:57";\N;"0"
"3192";"Количество в упаковке";"л.";"0";"2842";"7";"0";"1";"number";"2016-10-27 15:48:18";"2016-10-27 15:49:32";"173"
"10984";"Максимальный воздушный поток";"л/мин";"0";"4222";"6";"0";"1";"number";"2018-05-18 12:58:43";"2018-05-18 13:04:43";"95"
"9634";"Производительность по осушению";"л/сут.";"0";"2926";"3";"0";"1";"number";"2018-02-07 13:36:09";"2018-02-26 16:44:19";"95"
"2553";"Максимальная производительность";"л/ч";"0";"2907";"3";"0";"1";"number";"2016-07-04 17:10:57";"2018-02-07 12:58:18";"95"
"4868";"Производительность нагрева";"л/час";"0";"2888";"15";"0";"1";"number";"2017-04-26 12:41:25";"2018-02-22 17:32:07";"95"
"370";"Возрастная группа";"лет";"0";"1613";"2";"0";"1";"string";"2016-07-04 17:10:57";"2018-03-16 10:23:23";"95"
"7095";"Количество пробиваемых листов";"лист";"0";"873";"1";"1";"1";"number";"2017-11-07 16:48:19";"2018-05-30 09:06:46";"95"
"133";"Вместимость";"листов";"0";"854";"1";"0";"1";"number";"2016-07-04 17:10:57";"2017-11-27 14:58:53";"95"
"1021";"Производительность";"листов А4";"0";"1237";"3";"0";"1";"string";"2016-07-04 17:10:57";\N;"0"
"4043";"Ёмкость резервуара для воды";"литр";"0";"3071";"3";"0";"1";"number";"2017-03-15 15:54:16";"2017-03-27 10:18:01";"95"
"155";"Длина шнура";"м";"0";"1146";"2";"0";"1";"number";"2016-07-04 17:10:57";"2018-03-15 16:02:43";"95"
"1022";"Скорость резки";"м/мин";"0";"1237";"4";"0";"1";"string";"2016-07-04 17:10:57";\N;"0"
"9278";"Скорость воздушного потока";"м/сек.";"0";"1022";"3";"0";"1";"number";"2018-01-25 15:58:10";"2018-04-03 17:39:08";"95"
"2749";"Площадь очищаемого помещения";"м2";"0";"3093";"1";"0";"1";"number";"2016-07-04 17:10:57";\N;"0"
"2432";"Производительность по площади";"м2/ч";"0";"2911";"0";"0";"1";"number";"2016-07-04 17:10:57";\N;"0"
"4840";"Максимальный воздушный поток";"м3/мин";"0";"2923";"14";"0";"1";"number";"2017-04-25 16:46:17";"2018-05-17 11:23:31";"95"
"9636";"Максимальный воздухообмен";"м3/ч";"0";"2926";"5";"0";"1";"number";"2018-02-07 13:37:04";"2018-02-26 16:44:19";"95"
"2664";"Емкость аккумулятора";"мАч";"0";"2814";"1";"0";"1";"number";"2016-07-04 17:10:57";"2018-02-12 16:06:14";"95"
"10549";"Объем";"мг";"0";"4193";"1";"0";"1";"number";"2018-03-26 16:38:33";"2018-03-26 17:01:34";"95"
"11359";"Объем/вес";"мг/г";"0";"1335";"4";"0";"1";"number";"2018-06-04 12:25:17";"2018-06-04 12:52:40";"95"
"7700";"Срок годности";"мес.";"0";"2758";"6";"0";"0";"number";"2017-11-28 17:27:19";"2018-01-17 17:35:17";"95"
"640";"Дальность";"метров";"0";"1252";"1";"0";"1";"number";"2016-07-04 17:10:57";\N;"0"
"805";"Рабочий цикл";"мин";"0";"1237";"2";"0";"1";"string";"2016-07-04 17:10:57";\N;"0"
"3205";"Время нагрева";"мин.";"0";"3279";"3";"0";"1";"number";"2016-10-28 10:24:12";\N;"173"
"6470";"Автовыключение после простоя";"минут ";"0";"1223";"18";"0";"0";"number";"2017-10-11 11:31:57";"2017-10-17 13:18:23";"95"
"147";"Макс. толщина пленки";"мкм";"0";"1223";"4";"0";"1";"number";"2016-07-04 17:10:57";"2017-10-17 13:18:23";"95"
"458";"Объем";"мл";"0";"1622";"1";"0";"1";"number";"2016-07-04 17:10:57";\N;"0"
"1014";"Объем";"мл.";"0";"1903";"2";"0";"1";"number";"2016-07-04 17:10:57";\N;"0"
"715";"Объем/вес";"мл/г";"0";"1341";"5";"0";"1";"number";"2016-07-04 17:10:57";"2018-03-26 15:45:40";"95"
"9622";"Расход воды";"мл/ч";"0";"2041";"6";"0";"0";"number";"2018-02-07 13:07:29";"2018-02-26 16:57:26";"95"
"13";"Толщина линии письма";"мм";"0";"1523";"4";"0";"1";"number";"2016-07-04 17:10:57";"2017-12-27 11:04:42";"95"
"7790";"Скорость печати";"мм/сек.";"0";"2799";"13";"0";"1";"number";"2017-11-30 14:41:03";"2018-04-04 16:33:50";"95"
"845";"Скорость счета";"монет/мин";"0";"1607";"1";"0";"1";"number";"2016-07-04 17:10:57";\N;"0"
"1207";"Время отклика";"мс";"0";"1414";"5";"0";"1";"number";"2016-07-04 17:10:57";\N;"0"
"2496";"Встроенная телефонная книга";"номеров";"0";"2948";"3";"0";"1";"number";"2016-07-04 17:10:57";\N;"0"
"130";"Вместимость";"папок";"0";"855";"2";"0";"1";"number";"2016-07-04 17:10:57";\N;"0"
"2355";"Количество в упаковке";"пар";"0";"1662";"0";"0";"1";"number";"2016-07-04 17:10:57";\N;"0"
"11833";"Вместимость полотенец";"пач./рулонов";"0";"1351";"9";"0";"1";"number";"2018-06-19 13:16:28";"2018-06-19 17:07:23";"95"
"4701";"Разрешение экрана";"пикс";"0";"2540";"3";"0";"1";"string";"2017-04-24 11:08:13";"2018-01-15 17:36:13";"95"
"6146";"Разрешение экрана";"пикселей";"0";"1531";"2";"0";"1";"string";"2017-08-01 17:28:23";"2018-05-22 11:19:57";"95"
"4051";"Время нагрева";"секунд";"0";"3071";"12";"0";"1";"number";"2017-03-15 16:11:17";"2017-03-27 10:18:01";"95"
"217";"Размер";"см";"0";"991";"2";"0";"1";"string";"2016-07-04 17:10:57";\N;"0"
"1144";"Высота шкафа";"см.";"0";"2019";"0";"0";"1";"string";"2016-07-04 17:10:57";\N;"0"
"6474";"Скорость ламинирования";"см/мин.";"0";"1223";"10";"0";"1";"number";"2017-10-11 11:46:38";"2017-10-17 13:18:23";"95"
"7061";"Автоподатчик";"стр";"0";"1215";"11";"0";"1";"number";"2017-11-03 11:55:30";"2017-12-26 11:31:56";"95"
"628";"Нагрузка";"стр. в месяц";"0";"1208";"3";"0";"1";"string";"2016-07-04 17:10:57";"2018-02-27 11:24:24";"95"
"803";"Нагрузка";"стр./мес";"0";"1701";"2";"0";"1";"number";"2016-07-04 17:10:57";\N;"0"
"802";"Нагрузка";"стр./мес.";"0";"1702";"1";"0";"1";"number";"2016-07-04 17:10:57";\N;"0"
"632";"Максимальная скорость ч/б печати (А4)";"стр./мин.";"0";"1213";"6";"0";"1";"number";"2016-07-04 17:10:57";"2018-04-06 17:49:55";"95"
"625";"Скорость печати и копирования";"стр./мин. (ч/б А4)";"0";"1214";"6";"0";"1";"number";"2016-07-04 17:10:57";"2018-02-27 11:23:23";"95"
